Ciconia ciconia/5c9d27a05c978196dd14e00bb66b0ddb_layer8_filter0_Guided_BP_color.jpg,Ardea alba/df5969fb89a09eeebd57deb186fa985a_layer8_filter0_Guided_BP_color.jpg,0.830402749
Cyanocitta cristata/43c34378a4a8ee8500b13d06f12eb43a_layer8_filter0_Guided_BP_color.jpg,Anas cyanoptera/49180a8b69ec16a8dd44efaec21bf8ea_layer8_filter0_Guided_BP_color.jpg,0.776532437
Passerina cyanea/ead86690bbd9feb440909b8cc4173ee2_layer8_filter0_Guided_BP_color.jpg,Accipiter cooperii/78688470cdd955a5f48f7909a4c6ca53_layer8_filter0_Guided_BP_color.jpg,0.716470952
Vanellus vanellus/e540a69197d906ba625b4387ec4b104f_layer8_filter0_Guided_BP_color.jpg,Haemorhous mexicanus/534279d7ef5a7736510aa973f967b605_layer8_filter0_Guided_BP_color.jpg,0.826256277
Egretta caerulea/f6c0db231ba6584e3c84dad5f22b6f89_layer8_filter0_Guided_BP_color.jpg,Ardea alba/81ae353890a0f94c036a57d9b3cb7a01_layer8_filter0_Guided_BP_color.jpg,0.715539002
Hydroprogne caspia/a93a3c86197d1eac60944ad3ec593b08_layer8_filter0_Guided_BP_color.jpg,Haliaeetus leucocephalus/d24c137776cfbed753a60ca64a652cd9_layer8_filter0_Guided_BP_color.jpg,0.77602794
Ardea alba/df5969fb89a09eeebd57deb186fa985a_layer8_filter0_Guided_BP_color.jpg,Ardea alba/64f5df093fc5e30e78025b0515017336_layer8_filter0_Guided_BP_color.jpg,0.730433814
Haemorhous mexicanus/711d497bc4ea960bb39dd6595c388c9f_layer8_filter0_Guided_BP_color.jpg,Fulica americana/5471de6da0df34815440607b10d663c6_layer8_filter0_Guided_BP_color.jpg,0.715361788
Larus marinus/78a9b933324c44696bfd21917b49f43c_layer8_filter0_Guided_BP_color.jpg,Fulica americana/d9688a433e9a447b5149d8614057aa40_layer8_filter0_Guided_BP_color.jpg,0.724211293
Larus marinus/ff0fd23658de86c9c5b9548fab2559a7_layer8_filter0_Guided_BP_color.jpg,Ardea alba/0afd3522217e0ba7b2814fe8d4b14959_layer8_filter0_Guided_BP_color.jpg,0.725681222
Larus marinus/229d1f200dbc33f7c96c18d9ec2c8ec7_layer8_filter0_Guided_BP_color.jpg,Aramus guarauna/a04a2c1710f81f5fbf7e5fa6ff8c2a8f_layer8_filter0_Guided_BP_color.jpg,0.760608721
Fulica americana/93ba0cef9ce8a927c98cb18a1426822e_layer8_filter0_Guided_BP_color.jpg,Cygnus atratus/9869cf988388fdb776f8b4a5698ed9e2_layer8_filter0_Guided_BP_color.jpg,0.792741699
Mergus serrator/106680b6088693cc7b13d1bf8bc84027_layer8_filter0_Guided_BP_color.jpg,Egretta caerulea/db0e92c3e9ace7742f0c8dd2f981bbca_layer8_filter0_Guided_BP_color.jpg,0.729578167
